original_0,lat,lon,formatted,name,district,housenumber,street,postcode,suburb,city,county,state,state_code,country,country_code,confidence,attribution,attribution_license,attribution_url
"KENNEDY STATION,",43.732447,-79.2635331,"Kennedy Station, Transway Crescent, Toronto, ON M1K 3N7, Canada",Kennedy Station,,,Transway Crescent,M1K 3N7,Scarborough,Toronto,Golden Horseshoe,Ontario,ON,Canada,ca,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"KIPLING STATION,",43.63753245,-79.53560410315569,"Kipling Station, 950 Kipling Avenue, Toronto, ON M9B 1A5, Canada",Kipling Station,,950,Kipling Avenue,M9B 1A5,Etobicoke,Toronto,Golden Horseshoe,Ontario,ON,Canada,ca,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"PIONEER VILLAGE STATIO,",43.776869,-79.509575,"Pioneer Village Station, York University Heights, Toronto, ON, Canada",Pioneer Village Station,North York,,,,York University Heights,Toronto,Toronto,Ontario,ON,Canada,ca,0.8571428571428571,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"FINCH STATION,",43.7804683,-79.414841,"Finch Station, Finch Bus Terminal, Toronto, ON M2N 5S4, Canada",Finch Station,North York,,Finch Bus Terminal,M2N 5S4,North York,Toronto,Golden Horseshoe,Ontario,ON,Canada,ca,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"EGLINTON STATION,",43.7047932,-79.3987105,"Eglinton Station, Eglinton Bus Terminal, Toronto, ON M4S 2C6, Canada",Eglinton Station,,,Eglinton Bus Terminal,M4S 2C6,Yonge & Eglinton,Toronto,Golden Horseshoe,Ontario,ON,Canada,ca,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"WILSON STATION,",43.734759,-79.4510165,"Wilson Station, Wilson Bus Terminal - Upper Level, Toronto, ON M3K 2C8, Canada",Wilson Station,North York,,Wilson Bus Terminal - Upper Level,M3K 2C8,Winston Park,Toronto,Golden Horseshoe,Ontario,ON,Canada,ca,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"EGLINTON WEST STATION,",43.6994534,-79.435932,"Eglinton West Station, Eglinton West Bus Terminal, Toronto, ON M6C 2E5, Canada",Eglinton West Station,,,Eglinton West Bus Terminal,M6C 2E5,Eglinton—Lawrence,Toronto,Golden Horseshoe,Ontario,ON,Canada,ca,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"WARDEN STATION,",43.7109884,-79.279798,"Warden Station, Warden Avenue, Toronto, ON M1L 4R6, Canada",Warden Station,,,Warden Avenue,M1L 4R6,Scarborough,Toronto,Golden Horseshoe,Ontario,ON,Canada,ca,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"PAPE STATION,",43.67996425,-79.34474097964232,"Pape, Lipton Avenue, Toronto, ON M4J 1L1, Canada",Pape,,,Lipton Avenue,M4J 1L1,Greektown,Toronto,Golden Horseshoe,Ontario,ON,Canada,ca,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"SCARBOROUGH CENTRE STA,",43.7743918,-79.2580418,"Scarborough Centre, 95 Triton Road, Toronto, ON M1P 4P5, Canada",Scarborough Centre,,95,Triton Road,M1P 4P5,Scarborough,Toronto,Golden Horseshoe,Ontario,ON,Canada,ca,0.765,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
