0
"KENNEDY STATION,"
"KIPLING STATION,"
"PIONEER VILLAGE STATIO,"
"FINCH STATION,"
"EGLINTON STATION,"
"WILSON STATION,"
"EGLINTON WEST STATION,"
"WARDEN STATION,"
"PAPE STATION,"
"SCARBOROUGH CENTRE STA,"
"VICTORIA PARK STATION,"
"FINCH WEST STATION,"
"SHEPPARD WEST STATION,"
"YORK MILLS STATION,"
"WILSON GARAGE,"
"KEELE STATION,"
"LAWRENCE WEST STATION,"
"DON MILLS STATION,"
"ISLINGTON STATION,"
"JANE STATION,"
"MAIN STREET STATION,"
"BATHURST AND WILSON,"
"LAWRENCE STATION,"
"ENTIRE ROUTE,"
"ROYAL YORK STATION,"
"BROADVIEW STATION,"
"CASTLE FRANK STATION,"
"BATHURST STATION,"
"DUFFERIN AND LAWRENCE,"
"YORKDALE STATION,"
"DAVISVILLE STATION,"
"OSSINGTON STATION,"
"HUMBERWOOD LOOP,"
"COXWELL STATION,"
"ST CLAIR WEST STATION,"
"LAWRENCE AND JANE,"
"EGLINTON AND KEELE,"
"FINCH AND ARROW,"
"DUNDAS WEST STATION,"
"MIDLAND AND STEELES,"
"RENFORTH STATION,"
"RUNNYMEDE STATION,"
"SHEPPARD STATION,"
"YONGE AND STEELES,"
"FINCH AND KENNEDY,"
"MAIN STATION,"
"MOUNT DENNIS GARAGE,"
"WOODBINE STATION,"
"ST CLAIR STATION,"
"PINE AND LAWRENCE,"
"WILSON AND JANE,"
"LAWRENCE EAST STATION,"
"FINCH AND WESTON,"
"JANE AND TRETHEWEY,"
"LAWRENCE AND WARDEN,"
"JANE AND WILSON,"
"EGLINTON GARAGE,"
"FRONT AND BAY,"
"KEELE AND EGLINTON,"
"MEADOWVALE LOOP,"
"MORNINGSIDE AND NIGHTS,"
"SHERBOURNE AND BLOOR,"
"STEELES AND YONGE,"
"ALBION AND WESTON,"
"LONG BRANCH LOOP,"
"BATHURST AND GREENWIN,"
"VICTORIA PARK AND STEE,"
"JANE AND LAWRENCE,"
"ARROW GARAGE,"
"STEELES AND MIDLAND,"
"EARLSCOURT LOOP,"
"WESTON AND FINCH,"
"MORNINGSIDE AND FINCH,"
"STEELES LOOP,"
"PEARSON AIRPORT TERMIN,"
"SHEPPARD AND JANE,"
"WESTON AND ALBION,"
"YONGE AND YORK MILLS,"
"WARDEN AND STEELES,"
"ELLESMERE AND MARKHAM,"
"GREENWIN VILLAGE AND B,"
"AVON LOOP,"
"WESTON AND BRADSTOCK,"
